Word,Meaning,Audio
legislature,cơ quan lập pháp,4000B6_legislature.mp3
linguistic,(thuộc) ngôn ngữ,4000B6_linguistic.mp3
monolingual,một ngôn ngữ mà thôi; đơn ngữ,4000B6_monolingual.mp3
nationality,quốc tịch,4000B6_nationality.mp3
patriot,người yêu nước,4000B6_patriot.mp3
prosecute,"(pháp lý) khởi tố, kiện",4000B6_prosecute.mp3
racial,(thuộc) chủng tộc,4000B6_racial.mp3
solemn,"nghiêm trang, nghiêm nghị, uy nghi",4000B6_solemn.mp3
solidarity,"sự đoàn kết, tình đoàn kết",4000B6_solidarity.mp3
tact,"sự khéo léo, tài xử trí",4000B6_tact.mp3
undermine,"làm hao mòn, xói mòn, phá ngầm, đục khoét",4000B6_undermine.mp3
allocate,phân bổ,4000B6_allocate.mp3
appetizing,"ngon miệng, ngon lành",4000B6_appetizing.mp3
blizzard,trận bão tuyết,4000B6_blizzard.mp3
cavity,"lỗ hổng, ổ, khoang",4000B6_cavity.mp3
clockwise,theo chiều kim đồng hồ,4000B6_clockwise.mp3
concentric,đồng tâm,4000B6_concentric.mp3
courtesy,"sự lịch sự, sự nhã nhặn",4000B6_courtesy.mp3
crisp,giòn,4000B6_crisp.mp3
discord,"sự bất hoà, mối xích mích",4000B6_discord.mp3
frigid,"lạnh lẽo, băng giá, lạnh nhạt",4000B6_frigid.mp3
generate,"tạo ra, phát sinh",4000B6_generate.mp3
glacial,"băng giá, lạnh buốt",4000B6_glacial.mp3
interchange,sự trao đổi lẫn nhau,4000B6_interchange.mp3
locker,"tủ có khoá, két có khoá",4000B6_locker.mp3
multicultural,đa văn hóa,4000B6_multicultural.mp3
omission,"sự bỏ sót, sự bỏ quên",4000B6_omission.mp3
oversee,"giám sát, trông nom, quan sát",4000B6_oversee.mp3
pierce,"đam, chọc, khoét lỗ, chọc thủng",4000B6_pierce.mp3
replicate,tái tạo,4000B6_replicate.mp3
wavy,gợn sóng,4000B6_wavy.mp3
abide,tuân theo,4000B6_abide.mp3
conversion,"sự chuyển đổi, sự hoán đổi",4000B6_conversion.mp3
cram,nhồi nhét,4000B6_cram.mp3
defer,"trì hoãn, để chậm lại",4000B6_defer.mp3
export,xuất khẩu,4000B6_export.mp3
fume,khói,4000B6_fume.mp3
habitual,"thường, thường xuyên, quen thuộc",4000B6_habitual.mp3
justify,"biện hộ, bào chữa",4000B6_justify.mp3
output,"sản lượng, đầu ra",4000B6_output.mp3
overpopulation,dân số quá đông,4000B6_overpopulation.mp3
patent,bằng sáng chế,4000B6_patent.mp3
penalize,"phạt, trừng phạt",4000B6_penalize.mp3
petroleum,"dầu mỏ, dầu lửa",4000B6_petroleum.mp3
prototype,"mẫu, nguyên mẫu, sản phẩm đầu tiên",4000B6_prototype.mp3
scrap,"mảnh nhỏ, mảnh rời",4000B6_scrap.mp3
sector,"khu vực, hình quạt tròn",4000B6_sector.mp3
subscribe,"tán thành, đặt mua dài hạn",4000B6_subscribe.mp3
subsist,"sinh sống, tồn tại",4000B6_subsist.mp3
suspend,"hoãn, đình chỉ, ngừng",4000B6_suspend.mp3
synthesis,sự tổng hợp,4000B6_synthesis.mp3
acrobat,"người biểu diễn leo dây, người biểu diễn nhào lộn",4000B6_acrobat.mp3
advocacy,"sự ủng hộ, lời ủng hộ",4000B6_advocacy.mp3
communal,"công cộng, chung",4000B6_communal.mp3
fluid,mềm mại,4000B6_fluid.mp3
harmonize,"làm hài hoà, làm cân đối",4000B6_harmonize.mp3
industrious,"cần cù, siêng năng",4000B6_industrious.mp3
inventive,"có tài sáng chế, có óc sáng tạo",4000B6_inventive.mp3
judicial,(thuộc) pháp luật,4000B6_judicial.mp3
mandarin,tiếng phổ thông (Trung quốc),4000B6_Mandarin.mp3
metropolitan,"có tính chất trung tâm (văn hoá, chính trị...)",4000B6_metropolitan.mp3
mimic,bắt chước,4000B6_mimic.mp3
misguided,sai lầm hoặc dại dột trong hành động (vì nhận định không đúng),4000B6_misguided.mp3
rehearse,"diễn tập (vở kịch, bài múa...)",4000B6_rehearse.mp3
scorn,"khinh bỉ, khinh miệt, coi khinh",4000B6_scorn.mp3
sensory,(thuộc) cảm giác; (thuộc) giác quan,4000B6_sensory.mp3
staple,"chính, chủ yếu",4000B6_staple.mp3
statute,đạo luật,4000B6_statute.mp3
veteran,"người kì cựu, cựu binh",4000B6_veteran.mp3
villain,"kẻ côn đồ, kẻ hung ác",4000B6_villain.mp3
vine,"(cây) dây leo, cây nho",4000B6_vine.mp3
constrain,"chế ngự, kìm hãm",4000B6_constrain.mp3
depot,"nhà ga (nhỏ), bến xe bus, kho hàng",4000B6_depot.mp3
emulate,"tích cực noi gương, làm theo",4000B6_emulate.mp3
forefinger,ngón tay trỏ,4000B6_forefinger.mp3
guts,"ruột, phá hủy bên trong, rút ruột",4000B6_guts.mp3
inherent,"vốn có, cố hữu",4000B6_inherent.mp3
intimidate,"đe doạ, doạ dẫm",4000B6_intimidate.mp3
janitor,"người gác cổng, người bảo vệ",4000B6_janitor.mp3
moist,"ẩm, ẩm ướt",4000B6_moist.mp3
nope,(từ lóng) không,4000B6_nope.mp3
prod,"chọc, đâm, thúc",4000B6_prod.mp3
ransom,tiền chuộc,4000B6_ransom.mp3
restrain,"ngăn cản, cản trở, kìm nén, kiềm chế",4000B6_restrain.mp3
saliva,"nước bọt, nước dãi",4000B6_saliva.mp3
spit,"khạc, nhổ nước bọt",4000B6_spit.mp3
sprint,chạy nước rút,4000B6_sprint.mp3
stunt,"trò quảng cáo, cuộc biểu diễn phô trương",4000B6_stunt.mp3
tolerant,khoan dung,4000B6_tolerant.mp3
vampire,ma cà rồng,4000B6_vampire.mp3
yawn,ngáp,4000B6_yawn.mp3
analogy,sự tương tự,4000B6_analogy.mp3
ancestry,"dòng họ, tổ tông",4000B6_ancestry.mp3
archer,"người bắn cung, cung thủ, chòm sao nhân mã",4000B6_archer.mp3
conspiracy,âm mưu,4000B6_conspiracy.mp3
deputy,"được uỷ quyền, đại diện,(trong danh từ ghép) phó",4000B6_deputy.mp3
earl,bá tước,4000B6_earl.mp3
fragrant,,4000B6_fragrant.mp3
funnel,cái phễu,4000B6_funnel.mp3
hereditary,di truyền,4000B6_hereditary.mp3
hymn,bài thánh ca,4000B6_hymn.mp3
invert,"lật ngược, đảo ngược",4000B6_invert.mp3
prey,con mồi,4000B6_prey.mp3
procession,"đoàn diễu hành (người, xe, thuyền...)",4000B6_procession.mp3
prophet,nhà tiên tri,4000B6_prophet.mp3
sarcastic,"kém cỏi, mỉa mai, chân biếm",4000B6_sarcastic.mp3
seasoning,gia vị,4000B6_seasoning.mp3
sodium,(hoá học) Natri,4000B6_sodium.mp3
tyranny,"chính thể bạo chúa, chính thể chuyên chế",4000B6_tyranny.mp3
tyrant,"bạo chúa, kẻo bạo ngược",4000B6_tyrant.mp3
vinegar,giấm chua,4000B6_vinegar.mp3
adjoining,"sát vách, liền kề",4000B6_adjoining.mp3
allege,"cho là, khẳng định",4000B6_allege.mp3
arch,"vòm, nhịp cầu",4000B6_arch.mp3
assemble,"tập hợp, tụ tập, nhóm họp, lắp ráp",4000B6_assemble.mp3
casualty,"nạn nhân (chiến tranh, tai nạn...)",4000B6_casualty.mp3
erect,"xây dựng, lắp ráp",4000B6_erect.mp3
foul,"hôi hám, hôi thối",4000B6_foul.mp3
hectare,héc ta,4000B6_hectare.mp3
heighten,"tăng thêm, làm cao lên, nâng cao",4000B6_heighten.mp3
hospitality,lòng mến khách,4000B6_hospitality.mp3
mansion,lâu đài,4000B6_mansion.mp3
outnumber,đông hơn,4000B6_outnumber.mp3
overjoyed,vui mừng khôn xiết,4000B6_overjoyed.mp3
pasture,"đồng cỏ, bãi cỏ",4000B6_pasture.mp3
petition,(pháp lý) đơn,4000B6_petition.mp3
renovate,"cải tạo, cải tiến",4000B6_renovate.mp3
revise,"đọc lại, duyệt lại",4000B6_revise.mp3
slab,"thanh, tấm,phiến đá mỏng",4000B6_slab.mp3
terrace,"sân thượng, hiên nhà",4000B6_terrace.mp3
turf,bãi cỏ,4000B6_turf.mp3
analogous,"tương tự, giống nhau",4000B6_analogous.mp3
binoculars,ống nhòm,4000B6_binoculars.mp3
bulk,"số lượng lớn, vật nặng",4000B6_bulk.mp3
comprise,"gồm có, bao gồm",4000B6_comprise.mp3
depict,"miêu tả, vẽ",4000B6_depict.mp3
dual,"lưỡng, kép, đôi",4000B6_dual.mp3
fahrenheit,thang độ F,4000B6_Fahrenheit.mp3
fulfill,"hoàn thành, làm trọn (nhiệm vụ...)",4000B6_fulfill.mp3
grove,"lùm cây, khu rừng nhỏ",4000B6_grove.mp3
ore,quặng,4000B6_ore.mp3
outback,vùng xa xôi hẻo lánh,4000B6_outback.mp3
outweigh,"có nhiều giá trị hơn, có nhiều tác dụng hơn",4000B6_outweigh.mp3
paradox,nghịch lý,4000B6_paradox.mp3
pier,cầu tàu,4000B6_pier.mp3
shortcut,"đường tắt, phím tắt",4000B6_shortcut.mp3
tariff,thuế xuất nhập khẩu,4000B6_tariff.mp3
thermometer,nhiệt kế,4000B6_thermometer.mp3
tilt,nghiêng,4000B6_tilt.mp3
vice versa,ngược lại,4000B6_viceversa.mp3
whereabouts,"nơi ở, chỗ trú ẩn",4000B6_whereabouts.mp3
amber,hổ phách,4000B6_amber.mp3
charcoal,than củi,4000B6_charcoal.mp3
columnist,"nhà bình luận,người chuyên giữ một mục báo",4000B6_columnist.mp3
courteous,"lịch sự, nhã nhặn",4000B6_courteous.mp3
credentials,"giấy uỷ quyền, quốc thư",4000B6_credentials.mp3
cricket,dế mèn,4000B6_crickets.mp3
delta,đồng bằng châu thổ,4000B6_delta.mp3
detergent,bột giặt,4000B6_detergent.mp3
euphemism,"lối nói trại, cách nói khác",4000B6_euphemism.mp3
expire,hết hiệu lực,4000B6_expire.mp3
granite,đá granit,4000B6_granite.mp3
gravel,sỏi,4000B6_gravel.mp3
haunt,"ám ảnh (ai), hay lui tới",4000B6_haunt.mp3
liberal,"không thành kiến, rộng lượng",4000B6_liberal.mp3
maze,mê cung,4000B6_maze.mp3
moss,rêu,4000B6_moss.mp3
pebble,đá cuội,4000B6_pebble.mp3
peck,"mổ, khoét, nhặt (bằng mỏ)",4000B6_peck.mp3
reservoir,"hồ chứa, bể chứa",4000B6_reservoir.mp3
streak,"vệt, đường sọc",4000B6_streak.mp3
